id;chapter;zoom;image;source-credit;source-link;description;lon;lat
1;Balsmosen;15;img/balsmosen.jpg;www.fugleognatur.dk;https://www.fugleognatur.dk;"Balsmosen er et grønt åndehul i midt i Smørum. Kommunen og borgerne plejer naturen og beskærer tagrør og pilebuske, så vandspejlet på søen på udvalgte steder kan opleves fra søbredden. 
Der er stier og bænke omkring søen, og ruten rundt om søen er en gåtur på ca. 1.2 km. Søen er hjemsted for mange fuglearter såsom svaner, fiskehejrer, blishøns, lappedykkere og gråænder. ";12.309;55.743
2;Brøns Mose;17;img/bronsmose.jpg;Source: www.fugleognatur.dk;https://www.fugleognatur.dk;"Brøns Mose ligger i dalen vest for Veksø. Der er en fantastisk udsigt over naturområdet fra byen. Der er stier til området både fra Veksø og fra markvejen mod vest. Det er tilladt at gå ind over engen og ned til mosen, også selv om der er græssende får, bare husk at tage hunden i snor. Området er et yndet naturområde for byboerne, og om vinteren anlægges skøjtebane, og der kælkes på skråningerne. Der bliver desuden fisket fra tangerne i mosen, hvilket er tilladt.
";12.229;55.755
3;Farum Sortmose;17;img/farumsortmose.jpg;Source: www.fugleognatur.dk;https://www.fugleognatur.dk;Farum Sortemose består af moseområdet lige vest for Farum Sø på kommunegrænsen mellem Egedal og Furesø. Du kan færdes i Farum Sortemose på de afmærkede stier. Der er stiforbindelse videre til Farum Søsti og til Mølleåstien.Farum Sortemose rummer natur af særlig høj værdi. Mølleåen, som løber gennem området, forbinder fire store søer: Bastrup Sø, Farum Sø, Furesø og Lyngby Sø på sin vej til Øresund. Farum Sortemose er en sumpskov, og her kan man opleve den helt særlige naturtype, rigkær. ;12.334;55.805
4;Ganløse og Slagslunde tunneldale;17;img/farumsortmose.jpg;Source: www.fugleognatur.dk;https://www.fugleognatur.dk;Der er et helt unikt landskab af langstrakte bakker og tunneldale skabt af isens kræfter under istiden mellem Slagslunde og Ganløse. Området består af flere naturområder med hver sin karakteristiske naturtype: overdrev, enge, moser og søer. Du kan komme til området af naturstier fra Ganløse Eged eller fra Damvad Å og følge markvejen langs åsen. Hvis du ankommer af stien fra Ganløse Eged, går du af den gamle hulvej og kommer forbi en bevoksning af urørt skov med 200-300 år gamle bøgetræer;12.237;55.803
5;Klevads Mose;17;img/farumsortmose.jpg;Source: www.fugleognatur.dk;https://www.fugleognatur.dk;Klevads Mose blev ryddet for træer i 2009 og den oprindelige ådal blev genskabt. Ådalen rummer både rigkær og overdrev, og dette giver et spændende og varieret dyre- og planteliv. For at ådalen ikke skal gro til med træer igen, afgræsses området med en flok Skotsk Højlandskvæg. Der er et sort rastehus ved Klevads Enge, hvor der er bænke. Her kan man sidde og nyde den smukke udsigt. Der er flere stisystemer i området, både i skovene Ganløse Egede og Ganløse Ore, samt stier, der løber mellem Buresø og Furesø – og her ligger Klevads Mose på vejen.;12.309;55.816
6;Krogenlund mose;17;img/farumsortmose.jpg;Source: www.fugleognatur.dk;https://www.fugleognatur.dk;Krogenlund mose er et fredet området i mellem Buresø og Bastrup Sø. Ved Buresø er der mulighed for at bade, idet der er bygget en badebro og der ligeledes er en fin strand og bålplads. Ved Buresø er der parkeringsplads, og herfra  kan man gå til Krogenlund Mose også kaldet ”Småsøerne”. Du kan også komme til området af Bastrupstien. Ekstremrigkær hedder den sjældne og værdifulde naturtype, som findes i Krogenlund Mose. Som navnet på naturtypen antyder, er mosen nemlig ekstremt rig på især planter, der ikke findes ret mange andre steder.;12.229;55.821
7;Porsemosen;17;img/farumsortmose.jpg;Source: www.fugleognatur.dk;https://www.fugleognatur.dk;Porsemosen er et fredet naturområde syd for Ledøje Landsby. Det er den største mose i storkøbenhavn på ca. 100 ha. Fra Øbakkegård syd for Ledøje er der en storslået udsigt over mosen. Den nemmeste adgang til området er fra Vridsløsemagle landsby i Høje-Taastrup eller fra stierne i Vestskoven. Der er parkeringsmulighed ved Kroppedal Museum, hvorfra man kan gå ned til mosen. Mosens tørv har været udnyttet til brændsel gennem århundreder og har haft stor økonomisk betydning for de omkringliggende landsbyer. ;12.229;55.698
8;Skenkelsø Sø;13;img/farumsortmose.jpg;Source: www.fugleognatur.dk;https://www.fugleognatur.dk;Skenkelsø Sø er en stor lavvandet sø med omgivende enge og rørsump. Søen blev drænet op gennem 1950’erne, hvor området blev anvendt til landbrugsjord, men i 2010 blev søen naturgenoprettet. Området ligger tæt ved Ølstykke by, og der er flere stiadgange til området. Fra nord, ved den nye supercykelrute, er der en fantastisk udsigt over området.Nogle af arealerne ved Skenkelsø Sø er ejet af private lodsejere, så det er ikke muligt at gå hele vejen rundt om søen. Der er fri adgang på de kommunale arealer, også indenfor indhegningen. ;12.105;55.799
9;Sperrestrup Skov;17;img/farumsortmose.jpg;Source: www.fugleognatur.dk;https://www.fugleognatur.dk;"Sperrestrup Skov er en af de nye danske skove, der netop nu vokser sig store. Skoven blev anlagt i 1997. Den skal være med til at sikre rent grundvand, og der bliver hverken gødet eller brugt pesticider i skoven. I skoven er en stor lysning under højspændingsledningerne, hvor der går kvæg og græsser i sommerhalvåret. Herfra er der en flot udsigt til Skenkelsø Mølle, Troldhøj, Storesølyngen og det omkringliggende landskab. Du er velkommen til at gå ind i foldene, men husk at hunde skal holdes i snor. En del af Sperrestrup Skov er hundeskov, hvor hundene kan slippes løs. I foldene er der anlagt en række søer og vandhuller, der er forbundet med hinanden. Hele området har karakter af overdrev, og det er håbet, at der med tiden vil blive skabt et spændende plante- og dyreliv. Man kan være heldig at se havørn herude. Naturstyrelsen plejer naturen i området
";12.173;55.811
10;Storesø-Lyngen;14;img/farumsortmose.jpg;Source: www.fugleognatur.dk;https://www.fugleognatur.dk;Storesø-Lyngen er et fredet område med både moser, småsøer, pilekrat, birkeskov og enge. Der findes blandt andet et enestående rigkær med mange spændende arter. Storesø-Lyngen er oprindelig et tidligere søområde, der ved afvanding og dræning er omdannet til mose- og engområde. Der er adgang til området ad stierne og det er nemt at komme dertil fra Ølstykke by. Det er muligt at gå hele mosen rundt og videre mod nord til Sperrestrup Skov.For at holde området lysåbent og modvirke, at det gror til, er det vigtigt udføre naturpleje. Kommunen samarbejder med borgerne i området om at få i gang sat naturpleje, samt etablere en aktivitetsplads og en sansesti;12.135;55.796
